startTime,pm25
1367463600000.0,125.833
1367593200000.0,23.364
1367712000000.0,24
1367722800000.0,26.833
1367733600000.0,12.333
1367766000000.0,27.333
1367861280000.0,50.167
1367960400000.0,31.833
1367884800000.0,30
1367895600000.0,26
1367906400000.0,56.833
1367917200000.0,35.33300000000001
1367928000000.0,38.5
1367938800000.0,33.667
1368036000000.0,61.8
1368133200000.0,154.333
1368057600000.0,48.333
1368068400000.0,23.5
1368079200000.0,40
1368090000000.0,24
1368100800000.0,15
1368111600000.0,19.333
1368208800000.0,28.5
1368306000000.0,114.333
1368230400000.0,46
1368241200000.0,36.5
1368252000000.0,47.333
1368262800000.0,33.333
1368273600000.0,31.167
1368284400000.0,28.833
1368379320000.0,22.833
1368478800000.0,18.167
1368403200000.0,31.8
1368424800000.0,41
1368435600000.0,36.833
1368446400000.0,33.667
1368457200000.0,30.833
1368558240000.0,33
1368651600000.0,40.333
1368576000000.0,30.833
1368586800000.0,17.333
1368597600000.0,22.667
1368608400000.0,34
1368619200000.0,36.833
1368630000000.0,27.5
1368727440000.0,33.6
1368824400000.0,64.833
1368748800000.0,37.667
1368759600000.0,22.833
1368770400000.0,50
1368781200000.0,33.667
1368792000000.0,18.667
1368802800000.0,17
1368900600000.0,24.4
1368997200000.0,20.333
1368921600000.0,13.667
1368932400000.0,21.333
1368943200000.0,28.167
1368954000000.0,22
1368964800000.0,13.167
1368975600000.0,10.833
1369072800000.0,24.5
1369170000000.0,62.667
1369094400000.0,37.333
1369105200000.0,21.167
1369116000000.0,30.5
1369126800000.0,21.167
1369137600000.0,20.833
1369148400000.0,17.167
1369245600000.0,59.5
1369342800000.0,12
1369267200000.0,4.25
1369278000000.0,42.5
1369299600000.0,27
1369310400000.0,14.333
1369321200000.0,12.167
1369419600000.0,25
1369440000000.0,22.333
1369450800000.0,21
1369461600000.0,14.5
1369472400000.0,15.5
1369483200000.0,19
1369494000000.0,14
1369591200000.0,15.75
1369643280000.0,34
1369645200000.0,17.833
1369656000000.0,22.5
